abide abided/abode abided/abidden abiding
underpay underpaid underpaid underpaying
plead pleaded/pled pleaded/pled pleading
proofread proofread proofread proofreading
prove proved proved/proven proving
put put put putting
input input input inputting
queath quoth quoth/quethen queathing
quit quit quit quitting
read read read reading
lipread lipread lipread lipreading
misread misread misread misreading
reread reread reread rereading
reave reft reft reaving
rend rent rent rending
relay relaid relaid relaying
repay repaid repaid repaying
rethink rethought rethought rethinking
rewind rewound rewound rewinding
rewrite rewrote rewritten rewriting
rid rid/ridded rid/ridden/ridded ridding
ride rode ridden riding
override overrode overridden overriding
ring rang rung ringing
rise rose risen rising
rive rived/rove rived/riven riving
run ran run running
forerun foreran forerun forerunning
outrun outran outrun outrunning
overrun overran overrun overrunning
rerun reran rerun rerunning
underrun underran underrun underrunning
sake sook saken saking
saw sawed sawed/sawn sawing
say said said saying
forsay forsaid forsaid forsaying
gainsay gainsaid gainsaid gainsaying
missay missaid missaid missaying
naysay naysaid naysaid naysaying
withsay withsaid withsaid withsaying
see saw seen seeing
besee besaw beseen beseeing
foresee foresaw foreseen foreseeing
oversee oversaw overseen overseeing
seek sought sought seeking
sell sold sold selling
outsell outsold outsold outselling
oversell oversold oversold overselling
resell resold resold reselling
send sent sent sending
missend missent missent missending
resend resent resent resending
set set set setting
beset beset beset besetting
inset inset inset insetting
misset misset misset missetting
overset overset overset oversetting
preset preset preset presetting
reset reset reset resetting
upset upset upset upsetting
withset withset withset withseting
sew sewed sewed/sewn sewing
oversew oversewed oversewed/oversewn oversewing
shake shook shaken shaking
overshake overshook overshaken overshaking
shall should  
shape shaped/shope shapen/shaped shaping
misshape misshaped misshapen/misshaped misshaping
shave shove/shaved shaven/shaved shaving
shear shore/sheared shorn/sheared shearing
shed shed/shedded shed/shedded sheding
shine shined/shone shined/shone shining
beshine beshone beshone beshining
outshine outshined/outshone outshined/outshone outshining
overshine overshined/overshone overshined/overshone overshining
shit shit/shat/shitted shit/shat/shitted/shitten shitting
shite shit/shat shit/shat/shitten shiting
shoe shoed/shod shoed/shod/shodden shoeing
shoot shot shot/shotten shooting
overshoot overshot overshot overshooting
reshoot reshot reshot reshooting
undershoot undershot undershot undershooting
show showed/shew shown/showed showing
shrink shrank/shrunk shrunk/shrunken shrinking
shrive shrove shriven shriving
shut shut shut shutting
sing sang sung singing
outsing outsang outsung outsinging
sink sank/sunk sunk/sunken sinking
sit sat sat sitting
slay slew/slayed slain/slayed slaying
sleep slept slept sleeping
oversleep overslept overslept oversleeping
slide slid slid/slidden sliding
overslide overslid overslid/overslidden oversliding
sling slang/slung slung slinging
slink slunk slunk slinking
slip slipped/slipt slipped/slipt slipping
overslip overslipped/overslipt overslipped/overslipt overslipping
slit slit slit/slitten sliting
smell smelled/smelt smelled/smelt smelling
smite smote/smit smitten smiting
sneak sneaked/snuck sneaked/snuck sneaking
sow sowed/sew sowed/sown sowing
speak spoke/spake spoken speaking
bespeak bespoke bespoken bespeaking
forspeak forspoke forspoken forspeaking
misspeak misspoke misspoken misspeaking
speed sped/speeded sped/speeded speeding
spell spelled/spelt spelled/spelt spelling
misspell misspelled/misspelt misspelled/misspelt misspelling
spend spent spent spending
forspend forspent forspent forspending
misspend misspent misspent misspending
outspend outspent outspent outspending
spill spilled/spilt spilled/spilt spilling
overspill overspilled/overspilt overspilled/overspilt overspilling
spin span/spun spun spinning
spit spit/spat spit spitting
split split split splitting
spoil spoiled/spoilt spoiled/spoilt spoiling
spread spread spread spreading
bespread bespread bespread bespreading
spring sprang/sprung sprung springing
stand stood stood/standen standing
understand understood understood understanding
withstand withstood withstood withstanding
stay stayed/staid stayed/staid staying
steal stole stolen stealing
stick stuck stuck sticking
sting stung/stang stung stinging
stink stank/stunk stunk stinking
strew strew/strewed strewn/strewed strewing
stride strode/strided stridden/strided/strid striding
overstride overstrode overstridden overstriding
strike struck stricken/struck striking
string strang/strung strung stringing
strive strove/strived striven/strived striving
